image_path,category,brand,model,class_id,split
output\images\train\[가방] Fendi_라이트 블루 컬러의 나파 가죽 백_1.jpg,가방,Fendi,라이트 블루 컬러의 나파 가죽 백,1,train
output\images\train\[가방] Fendi_Brown fabric belt bag_5.jpg,가방,Fendi,Brown fabric belt bag,1,train
output\images\train\[가방] Fendi_마더 오브 펄 플렉시글라스 백_5.jpg,가방,Fendi,마더 오브 펄 플렉시글라스 백,1,train
output\images\train\[가방] Fendi_그레이 패브릭 파우치_4.jpg,가방,Fendi,그레이 패브릭 파우치,1,train
output\images\train\[가방] Fendi_내추럴 라피아 가방_6.jpg,가방,Fendi,내추럴 라피아 가방,1,train
output\images\train\[가방] Fendi_라일락 라피아 미니백_4.jpg,가방,Fendi,라일락 라피아 미니백,1,train
output\images\train\[가방] Fendi_라이트 블루 컬러의 나파 가죽 포셰트_6.jpg,가방,Fendi,라이트 블루 컬러의 나파 가죽 포셰트,1,train
output\images\train\[가방] Fendi_마더 오브 펄 플렉시글라스 백_1.jpg,가방,Fendi,마더 오브 펄 플렉시글라스 백,1,train
output\images\train\[가방] Fendi_가죽 비쉬 프린트 보스턴 백_2.jpeg,가방,Fendi,가죽 비쉬 프린트 보스턴 백,1,train
output\images\train\[가방] Fendi_그린 가죽 쇼퍼_2.jpg,가방,Fendi,그린 가죽 쇼퍼,1,train
output\images\train\[가방] Fendi_라일락 가죽 미니백_6.jpg,가방,Fendi,라일락 가죽 미니백,1,train
output\images\train\[가방] Fendi_골드 컬러의 가죽 가방_5.jpg,가방,Fendi,골드 컬러의 가죽 가방,1,train
output\images\train\[가방] Fendi_내추럴 스트로 가방_2.jpg,가방,Fendi,내추럴 스트로 가방,1,train
output\images\train\[가방] Fendi_멀티 컬러의 가죽 쇼퍼_1.jpg,가방,Fendi,멀티 컬러의 가죽 쇼퍼,1,train
output\images\train\[가방] Fendi_내추럴 컬러 가죽 쇼퍼_4.jpg,가방,Fendi,내추럴 컬러 가죽 쇼퍼,1,train
output\images\train\[가방] Fendi_그레이 컬러의 패브릭 백_5.jpg,가방,Fendi,그레이 컬러의 패브릭 백,1,train
output\images\train\[가방] Fendi_라일락 가죽 미니백_5.jpg,가방,Fendi,라일락 가죽 미니백,1,train
output\images\train\[가방] Fendi_FF 모티프 오렌지 나파 가죽 백_6.jpg,가방,Fendi,FF 모티프 오렌지 나파 가죽 백,1,train
output\images\train\[가방] Fendi_그린 컬러의 나파 가죽 가방_5.jpg,가방,Fendi,그린 컬러의 나파 가죽 가방,1,train
output\images\train\[가방] Fendi_가죽 비쉬 프린트 보스턴 백_6.jpg,가방,Fendi,가죽 비쉬 프린트 보스턴 백,1,train
output\images\train\[가방] Fendi_그린 컬러의 나파 가죽 가방_4.jpg,가방,Fendi,그린 컬러의 나파 가죽 가방,1,train
output\images\train\[가방] Fendi_라일락 라피아 미니백_5.jpg,가방,Fendi,라일락 라피아 미니백,1,train
output\images\train\[가방] Fendi_라일락 셀러리아 가죽 백_2.jpg,가방,Fendi,라일락 셀러리아 가죽 백,1,train
output\images\train\[가방] Fendi_레드 컬러의 가죽 미니 백_6.jpg,가방,Fendi,레드 컬러의 가죽 미니 백,1,train
output\images\train\[가방] Fendi_Brown fabric belt bag_1.jpg,가방,Fendi,Brown fabric belt bag,1,train
output\images\train\[가방] Fendi_멀티 컬러의 가죽 벨트 백_3.jpg,가방,Fendi,멀티 컬러의 가죽 벨트 백,1,train
output\images\train\[가방] Fendi_라일락 가죽 인터레이스 백_2.jpg,가방,Fendi,라일락 가죽 인터레이스 백,1,train
output\images\train\[가방] Fendi_베이지 가죽 미니백_3.jpg,가방,Fendi,베이지 가죽 미니백,1,train
output\images\train\[가방] Fendi_그레이 컬러의 패브릭 백_4.jpg,가방,Fendi,그레이 컬러의 패브릭 백,1,train
output\images\train\[가방] Fendi_라일락 가죽 인터레이스 백_1.jpg,가방,Fendi,라일락 가죽 인터레이스 백,1,train
output\images\train\[가방] Fendi_마더 오브 펄 플렉시글라스 백_6.jpg,가방,Fendi,마더 오브 펄 플렉시글라스 백,1,train
output\images\train\[가방] Fendi_레드 가죽 백_1.jpg,가방,Fendi,레드 가죽 백,1,train
output\images\train\[가방] Fendi_라이트 블루 컬러의 가죽 미니 백_4.jpg,가방,Fendi,라이트 블루 컬러의 가죽 미니 백,1,train
output\images\train\[가방] Fendi_그레이 컬러의 가죽 가방_3.jpg,가방,Fendi,그레이 컬러의 가죽 가방,1,train
output\images\train\[가방] Fendi_라이트 블루 컬러의 가죽 가방_6.jpg,가방,Fendi,라이트 블루 컬러의 가죽 가방,1,train
output\images\train\[가방] Fendi_라일락 라피아 미니백_6.jpg,가방,Fendi,라일락 라피아 미니백,1,train
output\images\train\[가방] Fendi_라이트 블루 컬러의 나파 가죽 포셰트_2.jpg,가방,Fendi,라이트 블루 컬러의 나파 가죽 포셰트,1,train
output\images\train\[가방] Fendi_FF 자수 백_2.jpg,가방,Fendi,FF 자수 백,1,train
output\images\train\[가방] Fendi_라이트 블루 컬러의 FF 시그니처 나파 가죽 백_4.jpg,가방,Fendi,라이트 블루 컬러의 FF 시그니처 나파 가죽 백,1,train
output\images\train\[가방] Fendi_라일락 가죽 미니백_2.jpg,가방,Fendi,라일락 가죽 미니백,1,train
output\images\train\[가방] Fendi_Brown fabric belt bag_3.jpg,가방,Fendi,Brown fabric belt bag,1,train
output\images\train\[가방] Fendi_그린 컬러의 캔버스 미니 백_6.jpg,가방,Fendi,그린 컬러의 캔버스 미니 백,1,train
output\images\train\[가방] Fendi_그레이 셀러리아 가죽 백_5.jpg,가방,Fendi,그레이 셀러리아 가죽 백,1,train
output\images\train\[가방] Fendi_멀티 컬러의 가죽 스몰 사이즈 보스턴 백_4.jpg,가방,Fendi,멀티 컬러의 가죽 스몰 사이즈 보스턴 백,1,train
output\images\train\[가방] Fendi_멀티 컬러의 가죽 가방_6.jpg,가방,Fendi,멀티 컬러의 가죽 가방,1,train
output\images\train\[가방] Fendi_버건디 가죽 백_2.jpg,가방,Fendi,버건디 가죽 백,1,train
output\images\train\[가방] Fendi_그린 가죽 쇼퍼_5.jpg,가방,Fendi,그린 가죽 쇼퍼,1,train
output\images\train\[가방] Fendi_멀티 컬러의 가죽 벨트 백_6.jpg,가방,Fendi,멀티 컬러의 가죽 벨트 백,1,train
output\images\train\[가방] Fendi_레드 컬러의 가죽 보스턴 백_2.jpg,가방,Fendi,레드 컬러의 가죽 보스턴 백,1,train
output\images\train\[가방] Fendi_내추럴 라피아 가방_5.jpg,가방,Fendi,내추럴 라피아 가방,1,train
output\images\train\[가방] Fendi_레드 컬러의 가죽 미니 백_3.jpg,가방,Fendi,레드 컬러의 가죽 미니 백,1,train
output\images\train\[가방] Fendi_버건디 가죽 백_1.jpg,가방,Fendi,버건디 가죽 백,1,train
output\images\train\[가방] Fendi_라이트 블루 컬러의 나파 가죽 백_4.jpg,가방,Fendi,라이트 블루 컬러의 나파 가죽 백,1,train
output\images\train\[가방] Fendi_멀티 컬러의 가죽 벨트 백_1.jpg,가방,Fendi,멀티 컬러의 가죽 벨트 백,1,train
output\images\train\[가방] Fendi_내추럴 컬러 가죽 쇼퍼_1.jpg,가방,Fendi,내추럴 컬러 가죽 쇼퍼,1,train
output\images\train\[가방] Fendi_FF 프린트 장식 브라운 가죽 미니백_3.jpg,가방,Fendi,FF 프린트 장식 브라운 가죽 미니백,1,train
output\images\train\[가방] Fendi_레드 컬러의 가죽 보스턴 백_4.jpg,가방,Fendi,레드 컬러의 가죽 보스턴 백,1,train
output\images\train\[가방] Fendi_라일락 가죽 미니백_4.jpg,가방,Fendi,라일락 가죽 미니백,1,train
output\images\train\[가방] Fendi_베이지 가죽 인터레이스 가방_2.jpg,가방,Fendi,베이지 가죽 인터레이스 가방,1,train
output\images\train\[가방] Fendi_멀티 컬러의 가죽 쇼퍼_5.jpg,가방,Fendi,멀티 컬러의 가죽 쇼퍼,1,train
output\images\train\[가방] Fendi_베이지 가죽 메쉬 미니 백_3.jpg,가방,Fendi,베이지 가죽 메쉬 미니 백,1,train
output\images\train\[가방] Fendi_그린 컬러의 나파 가죽 가방_2.jpg,가방,Fendi,그린 컬러의 나파 가죽 가방,1,train
output\images\train\[가방] Fendi_그린 컬러의 스웨이드 백_1.jpg,가방,Fendi,그린 컬러의 스웨이드 백,1,train
output\images\train\[가방] Fendi_라일락 셀러리아 가죽 백_4.jpg,가방,Fendi,라일락 셀러리아 가죽 백,1,train
output\images\train\[가방] Fendi_그레이 가죽 쇼퍼_1.jpg,가방,Fendi,그레이 가죽 쇼퍼,1,train
output\images\train\[가방] Fendi_그린 가죽 미니 백_2.jpg,가방,Fendi,그린 가죽 미니 백,1,train
output\images\train\[가방] Fendi_그린 캔버스 가방_5.jpg,가방,Fendi,그린 캔버스 가방,1,train
output\images\train\[가방] Fendi_라일락 라피아 미니백_3.jpg,가방,Fendi,라일락 라피아 미니백,1,train
output\images\train\[가방] Fendi_버건디 라피아 FF 백_4.jpg,가방,Fendi,버건디 라피아 FF 백,1,train
output\images\train\[가방] Fendi_그린 캔버스 쇼퍼_6.jpg,가방,Fendi,그린 캔버스 쇼퍼,1,train
output\images\train\[가방] Fendi_내추럴 라피아 가방_2.jpg,가방,Fendi,내추럴 라피아 가방,1,train
output\images\train\[가방] Fendi_라이트 블루 컬러의 가죽 가방_5.jpg,가방,Fendi,라이트 블루 컬러의 가죽 가방,1,train
output\images\train\[가방] Fendi_라일락 셀러리아 가죽 백_5.jpg,가방,Fendi,라일락 셀러리아 가죽 백,1,train
output\images\train\[가방] Fendi_베이지 가죽 미니백_1.jpg,가방,Fendi,베이지 가죽 미니백,1,train
output\images\train\[가방] Fendi_나일론 및 블랙 컬러의 가죽 소재 인서트 장식_2.jpg,가방,Fendi,나일론 및 블랙 컬러의 가죽 소재 인서트 장식,1,train
output\images\train\[가방] Fendi_라이트 블루 컬러의 가죽 가방_4.jpg,가방,Fendi,라이트 블루 컬러의 가죽 가방,1,train
output\images\train\[가방] Fendi_멀티 컬러의 가죽 쇼퍼_6.jpg,가방,Fendi,멀티 컬러의 가죽 쇼퍼,1,train
output\images\train\[가방] Fendi_멀티 컬러의 가죽 벨트 백_5.jpg,가방,Fendi,멀티 컬러의 가죽 벨트 백,1,train
output\images\train\[가방] Fendi_그레이 컬러의 가죽 가방_2.jpg,가방,Fendi,그레이 컬러의 가죽 가방,1,train
output\images\train\[가방] Fendi_멀티 컬러 가죽 보스턴 백_1.jpg,가방,Fendi,멀티 컬러 가죽 보스턴 백,1,train
output\images\train\[가방] Fendi_레드 컬러의 가죽 보스턴 백_3.jpg,가방,Fendi,레드 컬러의 가죽 보스턴 백,1,train
output\images\train\[가방] Fendi_내추럴 컬러 가죽 쇼퍼_5.jpg,가방,Fendi,내추럴 컬러 가죽 쇼퍼,1,train
output\images\train\[가방] Fendi_라일락 나파 가죽 백_6.jpg,가방,Fendi,라일락 나파 가죽 백,1,train
output\images\train\[가방] Fendi_라일락 가죽 인터레이스 백_4.jpg,가방,Fendi,라일락 가죽 인터레이스 백,1,train
output\images\train\[가방] Fendi_베이지 가죽 메쉬 미니 백_2.jpg,가방,Fendi,베이지 가죽 메쉬 미니 백,1,train
output\images\train\[가방] Fendi_그린 컬러의 나파 가죽 가방_3.jpg,가방,Fendi,그린 컬러의 나파 가죽 가방,1,train
output\images\train\[가방] Fendi_도브 그레이 가죽 핸드백_2.jpg,가방,Fendi,도브 그레이 가죽 핸드백,1,train
output\images\train\[가방] Fendi_그레이 가죽 백_3.jpg,가방,Fendi,그레이 가죽 백,1,train
output\images\train\[가방] Fendi_레드 컬러의 가죽 보스턴 백_1.jpg,가방,Fendi,레드 컬러의 가죽 보스턴 백,1,train
output\images\train\[가방] Fendi_그린 캔버스 쇼퍼_5.jpg,가방,Fendi,그린 캔버스 쇼퍼,1,train
output\images\train\[가방] Fendi_FF 자수 장식 브라운 가죽 백_1.jpg,가방,Fendi,FF 자수 장식 브라운 가죽 백,1,train
output\images\train\[가방] Fendi_그린 컬러의 캔버스 미니 백_2.jpg,가방,Fendi,그린 컬러의 캔버스 미니 백,1,train
output\images\train\[가방] Fendi_라이트 블루 컬러의 나파 가죽 포셰트_1.jpg,가방,Fendi,라이트 블루 컬러의 나파 가죽 포셰트,1,train
output\images\train\[가방] Fendi_내추럴 컬러 가죽 쇼퍼_2.jpg,가방,Fendi,내추럴 컬러 가죽 쇼퍼,1,train
output\images\train\[가방] Fendi_베이지 가죽 백_1.jpeg,가방,Fendi,베이지 가죽 백,1,train
output\images\train\[가방] Fendi_그린 컬러의 가죽 미니 백_3.jpg,가방,Fendi,그린 컬러의 가죽 미니 백,1,train
output\images\train\[가방] Fendi_FF 자수 백_1.jpg,가방,Fendi,FF 자수 백,1,train
output\images\train\[가방] Fendi_도브 그레이 가죽 핸드백_1.jpg,가방,Fendi,도브 그레이 가죽 핸드백,1,train
output\images\train\[가방] Fendi_버건디 라피아 FF 백_5.jpg,가방,Fendi,버건디 라피아 FF 백,1,train
output\images\train\[가방] Fendi_그린 컬러의 캔버스 미니 백_3.jpg,가방,Fendi,그린 컬러의 캔버스 미니 백,1,train
output\images\train\[가방] Fendi_멀티 컬러의 가죽 가방_4.jpg,가방,Fendi,멀티 컬러의 가죽 가방,1,train
output\images\train\[가방] Fendi_라일락 라피아 미니백_2.jpg,가방,Fendi,라일락 라피아 미니백,1,train
output\images\train\[가방] Fendi_멀티 컬러 가죽 보스턴 백_6.jpg,가방,Fendi,멀티 컬러 가죽 보스턴 백,1,train
output\images\train\[가방] Fendi_베이지 가죽 보스턴 백_6.jpg,가방,Fendi,베이지 가죽 보스턴 백,1,train
output\images\train\[가방] Fendi_그레이 플란넬 백_3.jpg,가방,Fendi,그레이 플란넬 백,1,train
output\images\train\[가방] Fendi_FF 자수 장식 브라운 가죽 백_4.jpg,가방,Fendi,FF 자수 장식 브라운 가죽 백,1,train
output\images\val\[가방] Fendi_그린 컬러의 캔버스 미니 백_1.jpg,가방,Fendi,그린 컬러의 캔버스 미니 백,1,val
output\images\val\[가방] Fendi_그린 캔버스 쇼퍼_4.jpg,가방,Fendi,그린 캔버스 쇼퍼,1,val
output\images\val\[가방] Fendi_라이트 블루 컬러의 FF 시그니처 나파 가죽 백_1.jpg,가방,Fendi,라이트 블루 컬러의 FF 시그니처 나파 가죽 백,1,val
output\images\val\[가방] Fendi_라이트 블루 컬러의 가죽 가방_3.jpg,가방,Fendi,라이트 블루 컬러의 가죽 가방,1,val
output\images\val\[가방] Fendi_그레이 패브릭 파우치_5.jpg,가방,Fendi,그레이 패브릭 파우치,1,val
output\images\val\[가방] Fendi_라이트 블루 컬러의 FF 시그니처 나파 가죽 백_6.jpg,가방,Fendi,라이트 블루 컬러의 FF 시그니처 나파 가죽 백,1,val
output\images\val\[가방] Fendi_라일락 나파 가죽 백_4.jpg,가방,Fendi,라일락 나파 가죽 백,1,val
output\images\val\[가방] Fendi_버건디 FF 라피아 백_6.jpg,가방,Fendi,버건디 FF 라피아 백,1,val
output\images\val\[가방] Fendi_멀티 컬러의 메쉬 쇼퍼백_4.jpg,가방,Fendi,멀티 컬러의 메쉬 쇼퍼백,1,val
output\images\val\[가방] Fendi_골드 컬러의 가죽 가방_6.jpg,가방,Fendi,골드 컬러의 가죽 가방,1,val
output\images\val\[가방] Fendi_베이지 가죽 미니백_2.jpg,가방,Fendi,베이지 가죽 미니백,1,val
output\images\val\[가방] Fendi_멀티 컬러의 가죽 쇼퍼_4.jpg,가방,Fendi,멀티 컬러의 가죽 쇼퍼,1,val
output\images\val\[가방] Fendi_내추럴 라피아 가방_1.jpg,가방,Fendi,내추럴 라피아 가방,1,val
output\images\val\[가방] Fendi_그린 컬러의 가죽 미니 백_2.jpg,가방,Fendi,그린 컬러의 가죽 미니 백,1,val
output\images\val\[가방] Fendi_FF 모티프 오렌지 나파 가죽 백_2.jpg,가방,Fendi,FF 모티프 오렌지 나파 가죽 백,1,val
output\images\val\[가방] Fendi_FF 자수 장식 브라운 가죽 백_3.jpg,가방,Fendi,FF 자수 장식 브라운 가죽 백,1,val
output\images\val\[가방] Fendi_그린 캔버스 가방_1.jpg,가방,Fendi,그린 캔버스 가방,1,val
output\images\val\[가방] Fendi_라이트 블루 컬러의 FF 시그니처 나파 가죽 백_5.jpg,가방,Fendi,라이트 블루 컬러의 FF 시그니처 나파 가죽 백,1,val
output\images\val\[가방] Fendi_내추럴 라피아 가방_3.jpg,가방,Fendi,내추럴 라피아 가방,1,val
output\images\val\[가방] Fendi_멀티 컬러의 가죽 가방_5.jpg,가방,Fendi,멀티 컬러의 가죽 가방,1,val
output\images\val\[가방] Fendi_가죽 비쉬 프린트 보스턴 백_1.jpeg,가방,Fendi,가죽 비쉬 프린트 보스턴 백,1,val
output\images\val\[가방] Fendi_라이트 블루 컬러의 가죽 미니 백_1.jpg,가방,Fendi,라이트 블루 컬러의 가죽 미니 백,1,val
output\images\val\[가방] Fendi_그레이 셀러리아 가죽 백_4.jpg,가방,Fendi,그레이 셀러리아 가죽 백,1,val
output\images\val\[가방] Fendi_멀티 컬러 가죽 보스턴 백_3.jpg,가방,Fendi,멀티 컬러 가죽 보스턴 백,1,val
output\images\val\[가방] Fendi_라일락 라피아 미니백_1.jpg,가방,Fendi,라일락 라피아 미니백,1,val
output\images\val\[가방] Fendi_FF 모티프 오렌지 나파 가죽 백_1.jpg,가방,Fendi,FF 모티프 오렌지 나파 가죽 백,1,val
output\images\val\[가방] Fendi_그린 컬러의 스웨이드 백_6.jpg,가방,Fendi,그린 컬러의 스웨이드 백,1,val
output\images\val\[가방] Fendi_라이트 블루 재활용 플라스틱 미니 백_1.jpg,가방,Fendi,라이트 블루 재활용 플라스틱 미니 백,1,val
output\images\val\[가방] Fendi_라이트 블루 컬러의 FF 시그니처 나파 가죽 백_3.jpg,가방,Fendi,라이트 블루 컬러의 FF 시그니처 나파 가죽 백,1,val
output\images\val\[가방] Fendi_골드 컬러의 가죽 가방_4.jpg,가방,Fendi,골드 컬러의 가죽 가방,1,val
output\images\val\[가방] Fendi_라이트 블루 컬러의 가죽 미니 백_2.jpg,가방,Fendi,라이트 블루 컬러의 가죽 미니 백,1,val
output\images\val\[가방] Fendi_베이지 가죽 인터레이스 가방_4.jpg,가방,Fendi,베이지 가죽 인터레이스 가방,1,val
output\images\val\[가방] Fendi_베이지 가죽 보스턴 백_3.jpg,가방,Fendi,베이지 가죽 보스턴 백,1,val
output\images\val\[가방] Fendi_라이트 그레이 컬러의 셀러리아 가죽 백_2.jpg,가방,Fendi,라이트 그레이 컬러의 셀러리아 가죽 백,1,val
output\images\val\[가방] Fendi_그린 캔버스 파우치_1.jpg,가방,Fendi,그린 캔버스 파우치,1,val
output\images\val\[가방] Fendi_그레이 패브릭 파우치_1.jpg,가방,Fendi,그레이 패브릭 파우치,1,val
output\images\val\[가방] Fendi_버건디 라피아 FF 백_2.jpg,가방,Fendi,버건디 라피아 FF 백,1,val
output\images\val\[가방] Fendi_라이트 블루 가죽 백_1.jpg,가방,Fendi,라이트 블루 가죽 백,1,val
output\images\val\[가방] Fendi_베이지 가죽 백_2.jpeg,가방,Fendi,베이지 가죽 백,1,val
output\images\val\[가방] Fendi_그레이 패브릭 파우치_3.jpg,가방,Fendi,그레이 패브릭 파우치,1,val
output\images\val\[가방] Fendi_Brown fabric belt bag_4.jpg,가방,Fendi,Brown fabric belt bag,1,val
output\images\val\[가방] Fendi_나일론 및 블랙 컬러의 가죽 소재 인서트 장식_1.jpg,가방,Fendi,나일론 및 블랙 컬러의 가죽 소재 인서트 장식,1,val
output\images\val\[가방] Fendi_멀티 컬러의 메쉬 쇼퍼백_2.jpg,가방,Fendi,멀티 컬러의 메쉬 쇼퍼백,1,val
output\images\val\[가방] Fendi_라일락 나파 가죽 백_1.jpg,가방,Fendi,라일락 나파 가죽 백,1,val
output\images\val\[가방] Fendi_그린 캔버스 파우치_3.jpg,가방,Fendi,그린 캔버스 파우치,1,val
output\images\val\[가방] Fendi_라일락 가죽 FF 백팩_4.jpg,가방,Fendi,라일락 가죽 FF 백팩,1,val
output\images\val\[가방] Fendi_베이지 가죽 보스턴 백_2.jpg,가방,Fendi,베이지 가죽 보스턴 백,1,val
output\images\val\[가방] Fendi_그린 캔버스 가방_4.jpg,가방,Fendi,그린 캔버스 가방,1,val
output\images\val\[가방] Fendi_멀티 컬러의 가죽 벨트 백_4.jpg,가방,Fendi,멀티 컬러의 가죽 벨트 백,1,val
output\images\val\[가방] Fendi_Fendi Prints On 가죽 가방_2.jpg,가방,Fendi,Fendi Prints On 가죽 가방,1,val
output\images\val\[가방] Fendi_버건디 FF 라피아 백_5.jpg,가방,Fendi,버건디 FF 라피아 백,1,val
output\images\val\[가방] Fendi_레드 컬러의 가죽 미니 백_5.jpg,가방,Fendi,레드 컬러의 가죽 미니 백,1,val
output\images\val\[가방] Fendi_그린 컬러의 가죽 미니 백_5.jpg,가방,Fendi,그린 컬러의 가죽 미니 백,1,val
output\images\val\[가방] Fendi_그린 캔버스 파우치_2.jpg,가방,Fendi,그린 캔버스 파우치,1,val
output\images\val\[가방] Fendi_골드 컬러의 가죽 가방_2.jpg,가방,Fendi,골드 컬러의 가죽 가방,1,val
output\images\val\[가방] Fendi_Fendi Prints On 가죽 가방_4.jpg,가방,Fendi,Fendi Prints On 가죽 가방,1,val
output\images\val\[가방] Fendi_Fendi Prints On 나파 가죽 여행용 가방_1.jpg,가방,Fendi,Fendi Prints On 나파 가죽 여행용 가방,1,val
output\images\val\[가방] Fendi_라일락 가죽 FF 백팩_6.jpg,가방,Fendi,라일락 가죽 FF 백팩,1,val
output\images\val\[가방] Fendi_멀티 컬러의 메쉬 쇼퍼백_3.jpg,가방,Fendi,멀티 컬러의 메쉬 쇼퍼백,1,val
output\images\val\[가방] Fendi_가죽 비쉬 프린트 보스턴 백_5.jpeg,가방,Fendi,가죽 비쉬 프린트 보스턴 백,1,val
output\images\val\[가방] Fendi_멀티 컬러의 가죽 가방_2.jpeg,가방,Fendi,멀티 컬러의 가죽 가방,1,val
output\images\val\[가방] Fendi_그레이 가죽 백_1.jpg,가방,Fendi,그레이 가죽 백,1,val
output\images\val\[가방] Fendi_그레이 컬러의 가죽 가방_6.jpg,가방,Fendi,그레이 컬러의 가죽 가방,1,val
output\images\val\[가방] Fendi_그린 캔버스 파우치_5.jpg,가방,Fendi,그린 캔버스 파우치,1,val
output\images\val\[가방] Fendi_그린 컬러의 나파 가죽 가방_1.jpg,가방,Fendi,그린 컬러의 나파 가죽 가방,1,val
output\images\val\[가방] Fendi_그린 컬러의 캔버스 미니 백_5.jpg,가방,Fendi,그린 컬러의 캔버스 미니 백,1,val
output\images\val\[가방] Fendi_Fendi Prints On 가죽 가방_1.jpg,가방,Fendi,Fendi Prints On 가죽 가방,1,val
output\images\val\[가방] Fendi_그레이 가죽 쇼퍼_2.jpg,가방,Fendi,그레이 가죽 쇼퍼,1,val
output\images\val\[가방] Fendi_베이지 가죽 미니백_4.jpg,가방,Fendi,베이지 가죽 미니백,1,val
